"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
5083269,127958,8494,22001,2018,2,27,2018,3,11,"Film & Animation",0.0251723841488617,14
987414,38575,972,1776,2018,5,27,2018,6,8,"Film & Animation",0.0390666934031723,11
3042679,191479,1240,31447,2018,2,18,2018,3,3,"Film & Animation",0.0629310551655301,15
16462484,272644,12087,49894,2018,2,28,2018,3,6,"Film & Animation",0.0165615346991377,8
6013966,290477,5463,17426,2018,3,4,2018,3,18,"Film & Animation",0.0483004060880956,14
7258412,261711,4141,14290,2018,5,19,2018,6,7,"Film & Animation",0.0360562337877762,18
2650574,79212,2187,9892,2018,3,6,2018,3,11,"Film & Animation",0.0298848475839573,5
2215999,15041,639,1418,2018,1,30,2018,2,4,"Film & Animation",0.00678745793657849,4
7540488,205626,2312,12295,2018,2,7,2018,2,8,"Film & Animation",0.0272695878569132,1
1487590,62666,1472,4698,2017,12,20,2017,12,30,"Film & Animation",0.0421258545701437,10
1116538,383,44,18,2018,4,26,2018,5,3,"Film & Animation",0.000343024599252332,7
2856192,64677,1975,7160,2018,1,16,2018,1,21,"Film & Animation",0.0226444860849691,5
3434039,238247,4223,21520,2018,3,30,2018,4,1,"Film & Animation",0.0693780705460829,1
3085206,78801,5938,18457,2018,3,27,2018,4,4,"Film & Animation",0.0255415683750129,7
1129543,19666,801,1686,2018,3,12,2018,3,19,"Film & Animation",0.0174105810934157,7
4005912,50531,1517,6070,2018,5,16,2018,5,25,"Film & Animation",0.0126141063508135,9
3141764,57674,3729,9991,2018,3,5,2018,3,6,"Film & Animation",0.0183572031508414,1
4399506,95002,2020,0,2018,4,21,2018,4,29,"Film & Animation",0.0215937880298379,8
7138640,11645,520,590,2018,4,26,2018,5,3,"Film & Animation",0.0016312630977329,7
1243808,22460,9077,2057,2018,4,16,2018,4,28,"Film & Animation",0.018057449381255,12
2303228,81267,1895,7774,2017,12,5,2017,12,12,"Film & Animation",0.0352839579928691,7
890400,24494,1145,3960,2017,12,7,2017,12,9,"Film & Animation",0.0275089847259659,2
1842120,19055,1256,1847,2018,3,27,2018,4,15,"Film & Animation",0.010344060104662,18
3078614,355173,7996,100948,2018,6,8,2018,6,12,"Film & Animation",0.115367824611984,4
15960127,374825,3823,9059,2018,5,10,2018,5,15,"Film & Animation",0.0234850888091304,5
686481,24612,168,746,2018,5,14,2018,5,23,"Film & Animation",0.0358524125212497,9
1144998,794,151,103,2018,3,14,2018,3,19,"Film & Animation",0.000693450992927499,5
1772463,6014,808,1102,2017,12,14,2017,12,19,"Film & Animation",0.00339301864129181,5
1372300,23179,1254,4249,2018,4,5,2018,4,23,"Film & Animation",0.0168906215842017,18
2181405,49608,1362,6094,2017,11,21,2017,11,25,"Film & Animation",0.022741306634944,4
4682088,121326,10398,20570,2018,5,27,2018,6,2,"Film & Animation",0.0259127978799202,5
1271958,58191,1074,1839,2018,2,26,2018,3,14,"Film & Animation",0.0457491520946446,18
