"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
4343369,104753,5443,15693,2018,5,15,2018,5,19,"Film & Animation",0.0241179139971759,4
1424838,71628,1856,6733,2018,5,8,2018,5,10,"Film & Animation",0.0502709781743609,2
1870245,57414,1416,7578,2018,3,6,2018,3,7,"Film & Animation",0.0306986517809164,1
1595860,67255,1342,1886,2017,11,29,2017,12,1,"Film & Animation",0.0421434211021017,2
1165478,31806,619,4137,2018,2,8,2018,2,11,"Film & Animation",0.0272900904178371,3
999895,30852,717,4248,2018,3,8,2018,3,10,"Film & Animation",0.030855239800179,2
2867606,130611,17990,7879,2018,5,28,2018,5,29,"Film & Animation",0.0455470521403568,1
3967200,41742,1500,3896,2018,3,29,2018,3,31,"Film & Animation",0.010521778584392,2
1076210,35114,724,1199,2018,3,7,2018,3,8,"Film & Animation",0.0326274611832263,1
1087778,17302,530,2155,2018,4,23,2018,4,25,"Film & Animation",0.0159058190182188,2
3612830,32880,2846,3962,2018,1,16,2018,1,19,"Film & Animation",0.00910089874142985,3
1875029,69281,5714,5282,2017,12,11,2017,12,15,"Film & Animation",0.0369492951842345,4
514470,16391,143,3173,2018,2,23,2018,2,25,"Film & Animation",0.0318599723987793,2
638788,9786,1254,1581,2018,1,3,2018,1,5,"Film & Animation",0.0153196365617388,2
2318176,65752,2188,10950,2018,2,20,2018,2,23,"Film & Animation",0.0283636790304101,3
873977,63809,453,7389,2017,12,1,2017,12,4,"Film & Animation",0.0730099304672777,3
573659,25320,303,3886,2018,4,21,2018,4,22,"Film & Animation",0.0441377194465702,1
967157,30662,564,3102,2018,2,22,2018,2,24,"Film & Animation",0.0317032291551423,2
807750,27838,381,2524,2018,3,27,2018,3,28,"Film & Animation",0.0344636335499845,1
612098,6451,1318,1374,2018,1,18,2018,1,21,"Film & Animation",0.0105391620296096,3
597340,17345,266,2688,2018,5,22,2018,5,24,"Film & Animation",0.0290370643184786,2
829786,29163,544,2386,2018,3,3,2018,3,4,"Film & Animation",0.0351452061133835,1
3812821,110988,8804,18968,2018,5,27,2018,5,30,"Film & Animation",0.0291091556619102,3
1225230,14969,418,525,2018,5,1,2018,5,8,"Film & Animation",0.0122172979767064,7
1556203,36243,1570,5692,2017,11,21,2017,11,24,"Film & Animation",0.0232893780567188,3
