"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
2919347,344513,6816,29131,2018,4,21,2018,4,22,"Film & Animation",0.118010294767974,1
1065850,85507,783,3548,2018,4,13,2018,4,16,"Film & Animation",0.0802242341792935,3
1138318,40377,2319,5687,2018,4,21,2018,4,22,"Film & Animation",0.0354707559750439,1
2057452,40398,1569,1661,2018,3,13,2018,3,17,"Film & Animation",0.0196349659676143,4
504232,11300,1915,2000,2018,5,3,2018,5,4,"Film & Animation",0.0224103190594806,1
1716909,60719,2312,9547,2018,5,15,2018,5,16,"Film & Animation",0.0353652989179974,1
10003191,114957,6844,9965,2017,11,19,2017,11,21,"Film & Animation",0.0114920328923041,2
13811768,408529,52292,24225,2018,3,1,2018,3,4,"Film & Animation",0.0295783276985249,3
14478580,332272,6789,42047,2017,11,18,2017,11,21,"Film & Animation",0.0229492118702248,3
6057662,109167,2557,5522,2017,12,19,2017,12,20,"Film & Animation",0.0180213092113756,1
1707151,20807,836,1380,2017,11,18,2017,11,21,"Film & Animation",0.0121881427009093,3
1048201,12967,3028,1179,2018,3,21,2018,3,23,"Film & Animation",0.0123707189747005,2
2189462,60540,3677,2444,2017,12,29,2018,1,1,"Film & Animation",0.0276506283278723,7
774582,3616,1018,455,2018,3,7,2018,3,9,"Film & Animation",0.00466832433493161,2
3966516,26146,4441,3173,2017,12,29,2018,1,1,"Film & Animation",0.00659167894444394,7
2001492,71034,1237,3893,2018,1,24,2018,1,26,"Film & Animation",0.0354905240690445,2
5338061,41822,4234,2975,2018,1,29,2018,2,1,"Film & Animation",0.00783468004580689,2
5848764,33987,3828,822,2017,12,16,2017,12,20,"Film & Animation",0.00581097134368903,4
14800528,162079,4964,12016,2018,5,16,2018,5,22,"Film & Animation",0.0109508931032731,6
1161106,27544,834,942,2017,11,25,2017,11,27,"Film & Animation",0.0237222096862819,2
924609,5619,807,254,2018,5,18,2018,5,21,"Film & Animation",0.00607716342800038,3
1051624,22520,1767,1214,2018,1,11,2018,1,14,"Film & Animation",0.0214144979574449,3
10592828,204228,11980,37655,2018,6,4,2018,6,9,"Film & Animation",0.0192798372634768,5
1365422,55576,1923,2899,2018,3,4,2018,3,5,"Film & Animation",0.0407024348516429,1
570462,14536,828,537,2018,3,1,2018,3,4,"Film & Animation",0.0254811012828199,3
5071317,169343,24743,10602,2018,5,28,2018,5,30,"Film & Animation",0.0333923120956548,2
7194118,57731,4901,6746,2018,3,2,2018,3,5,"Film & Animation",0.00802475021955436,3
962782,0,0,0,2017,12,24,2017,12,26,"Film & Animation",0,2
13359243,287119,8201,26349,2018,4,13,2018,4,17,"Film & Animation",0.0214921608956436,4
945996,23804,8410,5689,2018,6,7,2018,6,9,"Film & Animation",0.0251628970947023,2
3231065,9014,2967,1449,2018,2,2,2018,2,7,"Film & Animation",0.00278979222021222,5
933927,33435,862,1490,2018,6,6,2018,6,9,"Film & Animation",0.0358004426470163,3
1726001,56553,1968,5195,2018,1,27,2018,2,1,"Film & Animation",0.0327653344349163,4
3670263,5474,2745,1143,2017,12,22,2017,12,26,"Film & Animation",0.00149144625330664,4
3196475,15636,663,798,2018,3,26,2018,3,30,"Film & Animation",0.00489163844547509,4
2164008,78285,1690,2428,2017,11,29,2017,12,4,"Film & Animation",0.0361759291093194,5
1024037,13267,963,531,2018,5,11,2018,5,15,"Film & Animation",0.0129555865657198,4
9001206,49951,4874,1174,2017,12,1,2017,12,7,"Film & Animation",0.00554936749586666,6
559903,16429,1861,1328,2018,6,6,2018,6,9,"Film & Animation",0.0293425825544782,3
556806,955,401,92,2017,12,14,2017,12,16,"Film & Animation",0.00171513956386964,2
9750403,206350,38549,15914,2018,1,1,2018,1,7,"Film & Animation",0.0211632278173528,6
3584153,27162,1494,1835,2018,5,4,2018,5,6,"Film & Animation",0.0075783595175764,2
567517,0,0,91,2018,2,7,2018,2,13,"Film & Animation",0,6
13531173,155469,4650,11616,2018,5,16,2018,5,20,"Film & Animation",0.0114896912484971,4
5214168,42060,1884,2337,2018,1,29,2018,2,3,"Film & Animation",0.00806648347348992,4
598365,8132,445,386,2018,1,16,2018,1,20,"Film & Animation",0.0135903670836362,4
880003,14642,453,2875,2018,4,24,2018,4,25,"Film & Animation",0.0166385796412058,1
7042061,44059,3966,2292,2017,12,1,2017,12,5,"Film & Animation",0.0062565490415377,4
37533416,853550,62858,102740,2017,11,7,2017,11,15,"Film & Animation",0.0227410689184273,8
608579,8275,566,820,2018,3,23,2018,3,24,"Film & Animation",0.0135972486727278,1
512535,2576,478,0,2018,3,10,2018,3,11,"Film & Animation",0.0050259982245115,1
2048343,76279,1626,2370,2017,11,29,2017,12,3,"Film & Animation",0.0372393686018406,4
9978294,129866,3645,9539,2018,5,16,2018,5,18,"Film & Animation",0.0130148500334827,2
2580854,17711,901,1285,2018,5,4,2018,5,5,"Film & Animation",0.00686245715565468,1
670717,12005,1340,1165,2018,1,7,2018,1,9,"Film & Animation",0.0178987561072703,2
1581988,20279,806,870,2018,1,29,2018,2,1,"Film & Animation",0.0128186813047887,2
1568062,33439,3436,1501,2018,4,30,2018,5,3,"Film & Animation",0.0213250496472716,3
1071309,15270,665,2920,2018,5,15,2018,5,16,"Film & Animation",0.0142535907007222,1
1751244,20010,1383,2130,2017,11,16,2017,11,21,"Film & Animation",0.0114261633444569,5
1870245,57414,1416,7578,2018,3,6,2018,3,7,"Film & Animation",0.0306986517809164,1
577513,1617,736,264,2018,5,11,2018,5,12,"Film & Animation",0.0027999369711158,1
2846099,87515,1865,3191,2018,5,17,2018,5,22,"Film & Animation",0.0307491060570978,5
2035734,46159,1807,2224,2017,11,12,2017,11,16,"Film & Animation",0.0226743769077885,4
9399654,268149,2400,6739,2018,5,10,2018,5,12,"Film & Animation",0.0285275394179403,2
8037505,59747,5504,4579,2018,2,3,2018,2,8,"Film & Animation",0.00743352570231683,5
2867606,130611,17990,7879,2018,5,28,2018,5,29,"Film & Animation",0.0455470521403568,1
663171,12233,978,830,2018,4,3,2018,4,5,"Film & Animation",0.0184462227690897,2
745689,3100,406,105,2017,12,17,2017,12,20,"Film & Animation",0.00415722908612035,3
1334580,43366,2082,3690,2018,4,20,2018,4,21,"Film & Animation",0.0324941179996703,1
739961,17741,1004,670,2018,3,1,2018,3,5,"Film & Animation",0.0239755879026057,4
12809426,203998,3741,15521,2018,2,5,2018,2,8,"Film & Animation",0.0159256160268227,3
4317622,36412,1895,2129,2018,5,4,2018,5,7,"Film & Animation",0.0084333459483021,3
1980262,18135,945,3236,2018,5,2,2018,5,5,"Film & Animation",0.00915787910892599,3
9779219,283197,6202,13116,2017,11,15,2017,11,19,"Film & Animation",0.0289590610456725,4
4223613,129680,3995,27208,2018,2,28,2018,3,1,"Film & Animation",0.0307035706159632,3
1043841,15777,634,2519,2018,5,22,2018,5,23,"Film & Animation",0.0151143708668274,1
4413211,63361,5591,4159,2018,5,7,2018,5,12,"Film & Animation",0.0143571200198676,5
996057,1630,768,271,2018,2,12,2018,2,14,"Film & Animation",0.001636452532335,2
590374,1889,601,0,2018,1,4,2018,1,8,"Film & Animation",0.00319966665198671,4
509664,7166,557,0,2017,11,17,2017,11,18,"Film & Animation",0.0140602436114774,1
1398147,4006,1102,0,2018,3,2,2018,3,5,"Film & Animation",0.00286522089594299,3
1408283,52981,2726,3947,2018,1,22,2018,1,24,"Film & Animation",0.0376209895312235,2
2650902,14996,1893,854,2018,5,28,2018,5,31,"Film & Animation",0.00565694242940705,3
1844067,150676,4515,9415,2018,3,11,2018,3,12,"Film & Animation",0.0817085279439413,1
593576,14520,338,597,2017,12,2,2017,12,5,"Film & Animation",0.0244619054678761,3
924609,5619,807,254,2018,5,18,2018,5,21,"Film & Animation",0.00607716342800038,3
889709,12060,849,481,2018,5,11,2018,5,13,"Film & Animation",0.0135549938238233,2
608406,9129,798,491,2018,1,26,2018,1,30,"Film & Animation",0.0150047829903058,4
3411614,89893,4466,14071,2018,5,15,2018,5,17,"Film & Animation",0.0263491121797484,2
7729776,137628,3633,6786,2017,12,19,2017,12,21,"Film & Animation",0.0178049143985544,2
855813,8669,306,439,2018,1,11,2018,1,15,"Film & Animation",0.0101295493291175,4
1616663,18541,909,3613,2018,5,15,2018,5,17,"Film & Animation",0.0114686858052668,2
1726001,56553,1968,5195,2018,1,27,2018,2,1,"Film & Animation",0.0327653344349163,4
766469,44070,3689,2968,2017,11,23,2017,11,24,"Film & Animation",0.0574974330338213,1
1821722,30089,1205,1685,2018,2,9,2018,2,14,"Film & Animation",0.0165167901578836,5
617545,7017,523,611,2017,11,16,2017,11,18,"Film & Animation",0.0113627346994956,2
4369014,147238,997,3929,2018,5,10,2018,5,11,"Film & Animation",0.0337005100006546,1
503801,7596,381,380,2018,1,16,2018,1,19,"Film & Animation",0.0150773817439822,3
13359243,287119,8201,26349,2018,4,13,2018,4,17,"Film & Animation",0.0214921608956436,4
861203,1999,778,218,2017,12,19,2017,12,21,"Film & Animation",0.00232117166335928,2
935592,10388,903,0,2017,11,17,2017,11,20,"Film & Animation",0.011103130424373,3
967765,17824,832,677,2018,3,18,2018,3,20,"Film & Animation",0.018417694378284,2
6410016,111550,793,7123,2018,3,9,2018,3,12,"Film & Animation",0.0174024526615846,3
5614088,56904,3863,4930,2018,1,22,2018,1,25,"Film & Animation",0.0101359294688648,3
1552282,41884,1132,1665,2018,3,15,2018,3,18,"Film & Animation",0.0269822107065598,3
6766014,35949,4284,548,2017,12,16,2017,12,22,"Film & Animation",0.00531317257102927,6
638788,9786,1254,1581,2018,1,3,2018,1,5,"Film & Animation",0.0153196365617388,2
2214037,68387,2532,3662,2018,3,4,2018,3,6,"Film & Animation",0.0308879210239034,2
521520,688,371,65,2017,11,29,2017,12,3,"Film & Animation",0.00131922073937721,4
8173737,62003,5362,1593,2018,3,2,2018,3,6,"Film & Animation",0.00758563677788997,4
1353130,24878,2576,4093,2018,6,5,2018,6,8,"Film & Animation",0.0183855209772897,3
5699897,29846,9640,2972,2018,2,19,2018,2,21,"Film & Animation",0.00523623497056175,2
2398555,124005,24907,10637,2018,1,1,2018,1,2,"Film & Animation",0.0516998776346592,1
2008546,68230,1761,8610,2018,3,6,2018,3,8,"Film & Animation",0.0339698468444337,2
8758674,205980,35569,13621,2018,5,28,2018,6,4,"Film & Animation",0.0235172584343246,6
3720766,37322,3097,2687,2018,2,19,2018,2,21,"Film & Animation",0.0100307302313556,2
1926686,8692,1477,422,2018,5,18,2018,5,23,"Film & Animation",0.00451137341528407,5
3146172,9133,2427,571,2018,6,6,2018,6,10,"Film & Animation",0.00290289278526412,4
665680,1517,407,77,2018,2,6,2018,2,8,"Film & Animation",0.00227887273164283,2
638448,1112,476,190,2018,1,19,2018,1,23,"Film & Animation",0.00174172367992382,4
2749568,74919,2874,4062,2018,3,4,2018,3,8,"Film & Animation",0.027247553070155,4
735846,20844,2265,1467,2018,6,6,2018,6,10,"Film & Animation",0.0283265792027136,4
2317140,69388,3208,3418,2017,11,25,2017,11,28,"Film & Animation",0.0299455363076897,3
7361726,158566,14593,10527,2018,4,28,2018,5,5,"Film & Animation",0.0215392422918212,7
522012,6441,848,692,2018,2,10,2018,2,14,"Film & Animation",0.0123387968092688,4
2462051,64530,3900,2596,2017,12,29,2018,1,2,"Film & Animation",0.0262098551167299,8
6682590,47537,5054,3450,2018,1,29,2018,2,2,"Film & Animation",0.00711355926369866,3
1148239,11802,1051,0,2017,11,17,2017,11,22,"Film & Animation",0.0102783479745941,5
682177,14938,657,596,2018,3,18,2018,3,19,"Film & Animation",0.0218975427198513,1
1383897,24799,590,3215,2018,5,16,2018,5,18,"Film & Animation",0.0179196862194224,2
1857501,61538,5912,4427,2017,11,23,2017,11,28,"Film & Animation",0.0331294572654335,5
15960127,374827,3823,9059,2018,5,10,2018,5,15,"Film & Animation",0.0234852141214165,5
16550931,365541,10810,41547,2018,2,15,2018,2,17,"Film & Animation",0.0220858270752262,2
2580854,17711,901,1285,2018,5,4,2018,5,5,"Film & Animation",0.00686245715565468,1
3028544,89656,1941,3286,2018,5,17,2018,5,23,"Film & Animation",0.0296036643350732,6
6429292,35262,4108,913,2017,12,16,2017,12,21,"Film & Animation",0.00548458523893455,5
1608102,29445,1285,953,2017,12,26,2017,12,27,"Film & Animation",0.0183104056832216,1
1998460,3765,1951,546,2017,12,31,2018,1,2,"Film & Animation",0.00188395064199434,6
38664360,865914,63908,103907,2017,11,7,2017,11,16,"Film & Animation",0.0223956636033805,9
4316022,108577,3888,13454,2018,3,6,2018,3,8,"Film & Animation",0.0251567299703292,2
3141764,57674,3729,9991,2018,3,5,2018,3,6,"Film & Animation",0.0183572031508414,1
5609894,39076,3271,3184,2017,12,1,2017,12,4,"Film & Animation",0.00696555050772795,3
